button.quit|Quit
button.back|Back
button.next|Next
button.previous|Previous
button.cancel|Cancel

commonBodies.areYouSure|Are you sure?
commonBodies.exception|Exception:

commonText.genre|genre
commonText.genre.upperCase|Genre
commonText.genre.upperCase.plural|Genres
commonText.licence|licence
commonText.licence.upperCase|Licence
commonText.licence.upperCase.plural|Licences
commonText.publisher|publisher
commonText.publisher.upperCase|Publisher
commonText.publisher.upperCase.plural|Publisher
commonText.gameplayFeature|gameplay feature
commonText.gameplayFeature.upperCase|Gameplay feature
commonText.gameplayFeature.upperCase.plural|Gameplay features
commonText.engineFeature|engine feature
commonText.engineFeature.upperCase|Engine feature
commonText.engineFeature.upperCase.plural|Engine features
commonText.theme|theme
commonText.theme.upperCase|Theme
commonText.theme.upperCase.plural|Themes
commonText.npcGames|npc game
commonText.npcGames.upperCase|Npc game
commonText.npcGames.upperCase.plural|Npc games
commonText.platform|platform
commonText.platform.upperCase|Platform
commonText.platform.upperCase.plural|Platforms
commonText.npcEngine|npc engine
commonText.npcEngine.upperCase|Npc engine
commonText.npcEngine.upperCase.plural|Npc engines
commonText.antiCheat|anti cheat
commonText.antiCheat.upperCase|Anti cheat
commonText.antiCheat.upperCase.plural|Anti cheats
commonText.copyProtect|copy protection
commonText.copyProtect.upperCase|Copy protection
commonText.copyProtect.upperCase.plural|Copy protections
commonText.hardwareFeature|hardware feature
commonText.hardwareFeature.upperCase|Hardware feature
commonText.hardwareFeature.upperCase.plural|Hardware features
commonText.hardware|hardware
commonText.hardware.upperCase|Hardware
commonText.hardware.upperCase.plural|Hardware
commonText.npcIp|npc ip
commonText.npcIp.upperCase|Npc IP
commonText.npcIp.upperCase.plural|Npc IPs
commonText.exported|exported
commonText.export|Export
commonText.exporting|Exporting
commonText.removed|removed
commonText.removed.upperCase|Removed
commonText.remove|Remove
commonText.removing|Removing
commonText.added|added
commonText.added.upperCase|Added
commonText.successfully|successfully
commonText.unknownError|Unknown error
commonText.noInternet|No internet connection
commonText.id|Id
commonText.name|Name
commonText.description|Description
commonText.manufacturer|Manufacturer
commonText.unlockDate|Unlock date
commonText.unlockMonth|Unlock month
commonText.unlockMonth.toolTip|This is the month when your feature will be unlocked
commonText.unlockYear|Unlock year
commonText.unlockYear.toolTip|<html>This is the year when your feature will be unlocked.<br>Note: The latest date you can currently start the game is 2015.
commonText.range|Range
commonText.date|Date
commonText.releaseDate|Release date
commonText.productionEnd|Production end
commonText.type|Type
commonText.researchPointCost|Research point cost
commonText.researchPointCost.spinner.toolTip|Number of required research points to research that feature.
commonText.researchCost|Research cost
commonText.researchCost.spinner.toolTip|This is the research cost, it is being payed when researching this feature.
commonText.cost.spinner.toolTip|This is the price that has to be paid in order to unlock this feature.
commonText.developmentCost|Development cost
commonText.developmentCost.spinner.toolTip|Set the development cost for this feature.<br>This cost will be added when developing a game with this feature.
commonText.quality|Quality
commonText.quality.spinner|Set the quality for this feature
commonText.devKitCost|Dev kit cost
commonText.price|Price
commonText.marketShare|Market share
commonText.share|Share
commonText.profitShare|Profit share
commonText.techLevel|Tech level
commonText.techLevel.spinner.toolTip|The tech level of the feature.<br>A higher level means a more advanced feature.
commonText.units|Units
commonText.neededGameplayFeatures|Needed gameplay features
commonText.complexity|Complexity
commonText.internet|Internet
commonText.points|Points
commonText.targetGroup|Target group
commonText.compatibleGenres|Compatible genres
commonText.badGenres|Bad genres
commonText.goodGenres|Good genres
commonText.compatibleThemes|Compatible themes
commonText.goodGameplayFeatures|Good gameplay features
commonText.badGameplayFeatures|Bad gameplay features
commonText.arcadeCompatibility|Arcade compatibility
commonText.mobileCompatibility|Mobile compatibility
commonText.designFocus|Design focus
commonText.gameLength|Game length
commonText.gameDepth|Game depth
commonText.beginnerFriendliness|Beginner friendliness
commonText.innovation|Innovation
commonText.story|Story
commonText.characterDesign|Character design
commonText.levelDesign|Level design
commonText.missionDesign|Mission design
commonText.designDirection|Design direction
commonText.coreGamersCasualGamers|Core-gamer/Casual-gamer
commonText.nonviolentExtremeViolent|Nonviolent/Extreme violence
commonText.easyHard|Easy/Hard
commonText.workPriority|Work priority
commonText.gameplay|Gameplay
commonText.graphic|Graphic
commonText.sound|Sound
commonText.control|Control
commonText.tech|Tech
commonText.artificialIntelligence|Artificial intelligence
commonText.physics|Physics
commonText.multiplayer|Multiplayer
commonText.kid|Kid
commonText.teen|Teen
commonText.adult|Adult
commonText.senior|Senior
commonText.all|All
commonText.addNameTranslations|Add name translations
commonText.addNameTranslations.toolTip|<html>Click to add name translations<br>The value entered in the main text field will be used as the english translation
commonText.addNameTranslations.added|Name Translations Added
commonText.addDescriptionTranslations|Add description translations
commonText.addDescriptionTranslations.toolTip|<html>Click to add description translations<br>The value entered in the main text field will be used as the english translation
commonText.addDescriptionTranslations.added|Description translations added
commonText.addScreenshots|Add screenshots
commonText.translationsAlreadyAdded|translations have already been added.<br>Do you want to clear the translations and add new ones?
commonText.successfullyAdded|has been added successfully!
commonText.imageFileSet|Image file set
commonText.screenshots.added|Screenshots set
commonText.imageFile.doesNotExist|<html>The entered image file does not exist.<br>Please select a valid file.
commonText.imageFile.selectPngFile|Please select a .png file.
commonText.imageFile.selectOnlyPngFile|Please select only .png files.
commonText.imageFile.selectPngFile.fileChooser|Choose a image file (.png):
commonText.imageFile.selectPngFiles.fileChooser|Please select .png files:
commonText.imageFile.selectionType|.png files
commonText.followingImageFilesHaveBeenAdded.firstPart|<html>The following image files have been added:
commonText.isThisCorrect|Is this correct and do you want to continue?
commonText.browse|Browse
commonText.multipleFilesSelected|Multiple files selected
commonText.add|add
commonText.add.upperCase|Add
commonText.remove|remove
commonText.remove.upperCase|Remove
commonText.unableToAdd|Unable to add:
commonText.modAlreadyExists|The mod already exists!
commonText.chooseGenreFirst|Please select at least one genre first!
commonText.yes|yes
commonText.no|no
commonText.scrollExplanation|(Tip: Hold CTRL and click with your mouse)
commonText.default|Default
commonText.imageSelected|Image selected
commonText.selectImage|Select image
commonText.nameAlreadyInUse|The selected name is already in use.
commonText.developmentCost.spinner|This price must be paid when creating a game with this feature.
commonText.enterName|ENTER NAME
commonText.enterFeatureName|ENTER FEATURE NAME
commonText.enterDescription|ENTER DESCRIPTION
commonText.points.spinner.toolTip|The amount of [...] points that are added when a game is developed with this feature.
commonText.fanBase|Fan base
commonText.selectGenre|Select genre
commonText.selectGenreFirst|Please select a genre first!
commonText.quality|Quality
commonText.needInternet|Needs internet
commonText.stationary|Only stationary
commonText.cpu|Main Processor (CPU)
commonText.gpu|Graphics Chip (GPU)
commonText.ram|Main Memory (RAM)
commonText.storage|Internal / External Memory
commonText.audio|Sound Chip
commonText.cooling|Cooling System
commonText.gameStorageDevice|Data Carrier
commonText.controller|Input device
commonText.case|Case
commonText.screen|Screen
commonText.stationaryConsole|Stationary console
commonText.portableConsole|Portable console
commonText.reason|Reason:
commonText.alreadyExported|Mod has already been exported
textArea.export.imageNotExported|WARNING: The following picture was not copied because it already exists in the export folder
commonText.hasSuccessfullyBeenAddedToTheGame|has successfully been added to the game
commonText.startplatform|Startplatform
commonText.onlyMobile|Only mobile
commonText.speed|Speed
commonText.comVal|Computer value
commonText.seconds|seconds
commonText.country|Country

commonText.country.argentina|Argentina
commonText.country.armenia|Armenia
commonText.country.australia|Australia
commonText.country.austria|Austria
commonText.country.azerbaijan|Azerbaijan
commonText.country.bangladesh|Bangladesh
commonText.country.belgium|Belgium
commonText.country.brazil|Brazil
commonText.country.bulgaria|Bulgaria
commonText.country.chile|Chile
commonText.country.china|China
commonText.country.colombia|Colombia
commonText.country.croatia|Croatia
commonText.country.czech_republic|Czech Republic
commonText.country.denmark|Denmark
commonText.country.egypt|Egypt
commonText.country.estonia|Estonia
commonText.country.ethiopia|Ethiopia
commonText.country.finland|Finland
commonText.country.france|France
commonText.country.georgia|Georgia
commonText.country.germany|Germany
commonText.country.greece|Greece
commonText.country.hungary|Hungary
commonText.country.iceland|Island
commonText.country.india|India
commonText.country.indonesia|Indonesia
commonText.country.iran|Iran
commonText.country.ireland|Ireland
commonText.country.israel|Israel
commonText.country.italy|Italy
commonText.country.japan|Japan
commonText.country.canada|Canada
commonText.country.kenya|Kenya
commonText.country.latvia|Latvia
commonText.country.lithuania|Lithuania
commonText.country.luxembourg|Luxembourg
commonText.country.malaysia|Malaysia
commonText.country.mexico|Mexico
commonText.country.netherlands|Netherlands
commonText.country.new_zealand|New Zealand
commonText.country.nigeria|Nigeria
commonText.country.norway|Norway
commonText.country.pakistan|Pakistan
commonText.country.peru|Peru
commonText.country.philippines|Philippines
commonText.country.poland|Poland
commonText.country.portugal|Portugal
commonText.country.romania|Romania
commonText.country.russia|Russia
commonText.country.slovakia|Slovakia
commonText.country.slovenia|Slovenia
commonText.country.south_africa|South Africa
commonText.country.south_korea|South Korea
commonText.country.spain|Spain
commonText.country.sweden|Sweden
commonText.country.switzerland|Switzerland
commonText.country.thailand|Thailand
commonText.country.turkey|Turkey
commonText.country.uk|Great Britain
commonText.country.ukraine|Ukraine
commonText.country.usa|Usa
commonText.country.venezuela|Venezuela
commonText.country.vietnam|Vietnam

analyzer.gameplayFeature.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning gameplay features:
analyzer.gameplayFeature.getCustomContentString.customEngineFeatureFound|Modded gameplay feature found:
analyzer.gameplayFeature.getCustomContentString.customEngineFeatureComplete|Scanning for modded gameplay features complete
analyzer.gameplayFeature.getCustomContentString.progressBar|Scanning for modded gameplay features
analyzer.engineFeature.getCustomContentString.errorWhileScanningDefaultFiles|Error wile scanning engine features:
analyzer.engineFeature.getCustomContentString.customEngineFeatureFound|Modded engine feature found:
